age,score,gender
19.0,88.8,0.0
21.0,76.7,1.0
24.0,95.0,0.0
23.0,86.7,0.0
19.0,45.9,1.0
22.0,82.8,1.0
19.0,78.5,0.0
23.0,66.5,0.0
20.0,53.0,0.0
20.0,77.1,1.0
24.0,45.1,1.0
20.0,69.7,1.0
24.0,62.6,1.0
24.0,54.9,1.0
23.0,84.3,0.0
20.0,69.5,1.0
24.0,72.1,0.0
21.0,80.9,0.0
22.0,69.9,0.0
19.0,75.4,1.0
19.0,79.8,1.0
23.0,76.8,1.0
20.0,73.4,0.0
20.0,91.4,0.0
24.0,84.9,0.0
18.0,69.0,0.0
24.0,59.1,0.0
22.0,77.7,0.0
21.0,72.6,1.0
19.0,90.5,1.0
24.0,81.8,1.0
18.0,79.2,1.0
18.0,70.2,0.0
24.0,59.5,0.0
23.0,67.6,1.0
19.0,75.7,0.0
23.0,49.2,1.0
21.0,84.9,1.0
18.0,94.8,1.0
18.0,46.7,0.0
22.0,53.2,1.0
21.0,72.8,1.0
18.0,63.0,1.0
21.0,73.1,0.0
19.0,69.1,0.0
20.0,57.7,1.0
18.0,85.5,0.0
22.0,75.6,0.0
19.0,63.3,0.0
24.0,88.1,0.0
