day,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
0,32.5,29.8,28.9,29.0,22.2,20.9,31.2,31.2,32.3,33.3,25.2,25.0
1,31.0,28.0,29.0,30.9,32.8,21.8,22.5,16.9,26.6,15.7,24.3,25.9
2,20.7,26.8,15.6,15.7,31.5,22.2,17.5,25.4,30.4,19.3,27.5,16.7
3,16.0,25.6,25.8,27.7,29.5,34.5,25.3,21.5,30.9,20.4,23.8,16.6
4,15.5,34.3,31.7,28.9,23.2,18.5,18.1,20.0,26.0,29.3,28.2,20.6
5,34.1,29.8,26.1,27.2,23.4,20.0,22.1,30.2,15.3,17.3,15.9,15.8
6,32.1,29.1,24.5,17.0,24.8,24.5,18.5,23.7,23.0,27.3,27.7,15.9
7,22.5,27.5,25.1,32.1,28.2,18.3,16.4,27.8,15.5,26.7,33.8,26.5
8,22.8,27.9,24.2,25.9,33.8,22.7,34.2,33.1,18.9,16.4,17.0,15.4
9,16.9,28.7,16.4,21.4,31.9,15.5,31.3,20.6,17.4,28.9,27.6,32.5
10,29.7,31.1,20.6,18.5,30.0,31.1,34.8,23.3,22.4,30.5,21.8,33.6
11,32.2,23.6,30.0,30.1,17.1,33.1,25.1,31.5,21.4,32.9,22.8,15.2
12,33.1,16.8,21.4,34.0,34.0,26.5,27.6,24.0,20.9,21.6,28.5,30.0
13,30.8,30.8,16.8,24.9,16.2,26.0,23.8,32.8,22.0,17.3,17.9,30.2
14,27.4,17.0,16.7,29.0,16.5,31.4,29.1,16.6,16.7,34.7,22.5,22.4
15,31.3,33.9,34.7,30.1,22.5,16.7,30.5,26.2,23.5,33.1,17.2,24.9
16,15.2,24.4,16.1,17.4,17.4,28.0,29.9,26.7,34.2,22.5,20.7,32.4
17,19.5,34.3,15.2,34.4,15.9,32.8,25.6,34.9,16.5,26.1,34.4,25.5
18,27.6,28.9,24.1,27.6,26.7,33.0,15.9,20.6,34.0,32.8,24.1,27.4
19,20.5,18.8,24.3,22.1,26.7,16.6,34.5,34.7,29.0,25.7,21.2,31.3
20,28.7,18.3,33.2,31.5,34.0,29.5,27.3,23.4,33.7,32.3,15.9,15.5
21,22.5,31.2,34.7,18.0,26.9,22.6,34.4,31.8,31.8,24.4,23.3,20.5
22,16.1,32.3,31.3,35.0,34.9,26.1,30.4,33.9,32.0,19.9,24.0,17.6
23,34.1,27.1,19.6,28.4,27.4,22.2,17.3,28.4,25.4,30.4,25.4,32.0
24,26.0,26.2,32.5,23.1,17.7,15.6,30.1,27.4,29.1,19.3,17.7,15.3
25,22.0,26.8,22.8,23.7,33.1,22.0,25.3,30.7,22.9,27.4,32.2,34.0
26,17.9,33.5,24.8,20.2,24.2,34.6,24.9,21.6,27.7,19.8,16.5,17.6
27,17.6,18.0,17.8,27.8,18.6,21.9,32.9,24.5,28.4,18.4,18.8,15.8
28,18.4,20.6,18.5,16.8,17.4,24.2,19.1,22.3,25.1,28.8,15.8,31.0
29,27.6,16.6,32.5,33.4,16.2,20.5,31.1,30.0,18.7,19.2,22.4,24.7
