t,value
0,-1.861
1,-0.864
2,-0.177
3,-2.517
4,-4.806
5,-3.373
6,-2.159
7,-3.039
8,-3.921
9,-3.409
10,-3.421
11,-2.367
12,-1.887
13,-0.304
14,0.666
15,1.386
16,1.034
17,0.609
18,0.557
19,2.398
20,1.992
21,2.252
22,0.008
23,0.683
24,2.941
25,2.007
26,5.181
27,5.364
28,2.791
29,2.405
30,3.736
31,5.735
32,6.453
33,8.021
34,6.843
35,6.163
36,4.483
37,3.878
38,4.64
39,4.853
40,5.72
41,4.784
42,3.908
43,4.113
44,3.51
45,4.812
46,4.185
47,3.689
48,4.108
49,3.719
50,2.484
51,1.385
52,1.922
53,0.564
54,1.961
55,1.27
56,1.887
57,1.256
58,0.341
59,0.587
60,1.639
61,1.392
62,1.326
63,2.134
64,2.974
65,2.936
66,2.492
67,2.575
68,2.384
69,2.697
70,1.503
71,1.78
72,1.061
73,1.967
74,1.295
75,0.64
76,1.085
77,1.099
78,3.376
79,1.747
80,1.857
81,2.986
82,2.408
83,1.497
84,0.626
85,-0.986
86,0.364
87,0.035
88,-0.413
89,-2.538
90,-3.971
91,-2.506
92,-2.203
93,-1.036
94,0.004
95,-0.997
96,1.433
97,3.383
98,2.819
99,-0.749
