day,temp_c,humidity_pct,pressure_hpa,wind_speed_ms,rainfall_mm
0,21.0,43.8,1015.9,1.9,1.1
1,17.2,58.7,1017.5,2.6,0.6
2,21.9,59.9,1021.7,5.9,0.1
3,27.1,53.0,1021.4,5.5,4.0
4,16.6,62.6,1002.0,3.9,3.4
5,16.6,71.1,1005.5,4.3,16.3
6,27.5,93.3,1017.1,7.2,11.4
7,22.6,67.6,1017.1,2.5,1.6
8,15.2,68.9,1017.1,5.4,2.9
9,21.3,63.9,1043.8,3.5,5.8
10,15.2,36.2,1017.6,3.5,3.8
11,15.2,64.6,1022.1,6.7,0.6
12,19.5,65.9,1020.6,6.1,1.2
13,6.5,100.0,1018.2,6.0,0.3
14,7.7,62.1,1010.5,7.3,6.2
15,14.6,69.5,1019.1,4.1,1.9
16,11.9,64.5,1006.8,5.7,0.5
17,19.9,47.5,1011.1,3.2,2.2
18,12.6,82.1,1009.1,4.8,1.9
19,9.5,76.3,1013.7,3.7,0.9
20,26.8,76.9,1031.5,4.2,0.2
21,16.6,51.4,998.1,5.5,2.2
22,18.4,86.0,1018.5,2.0,1.5
23,9.5,44.0,1000.1,9.2,3.0
24,14.7,73.8,1009.2,1.5,1.5
25,18.7,97.9,1021.7,1.0,3.8
26,11.1,50.1,1013.5,6.9,1.6
27,20.3,56.5,1004.4,6.0,1.6
28,14.4,66.5,1007.3,5.6,4.2
29,16.2,57.4,1018.4,5.6,1.0
30,14.4,41.7,1007.2,4.0,0.3
31,29.1,66.0,1014.7,1.8,0.1
32,17.9,49.1,1013.4,4.2,2.8
33,11.7,72.1,1007.8,2.3,1.9
34,22.9,51.2,1030.2,6.4,2.4
35,10.7,88.2,1018.1,3.6,0.5
36,19.3,53.3,996.8,1.9,0.3
37,6.2,60.2,1014.5,3.2,0.0
38,10.0,77.2,1007.7,5.0,0.9
39,19.2,46.5,1019.8,2.6,1.8
40,22.4,68.4,1006.7,1.9,1.0
41,19.0,84.6,1012.1,4.6,1.2
42,17.3,40.9,1017.0,4.6,4.7
43,16.2,67.8,1019.9,2.7,0.9
44,9.1,68.9,1003.4,2.8,1.4
45,13.7,76.7,1010.3,4.6,3.1
46,15.2,46.4,1009.2,0.4,1.0
47,24.3,45.2,1007.8,0.5,1.9
48,20.1,72.8,1027.1,2.2,4.0
49,7.4,69.5,1016.2,3.5,6.0
50,19.9,68.8,1002.9,4.8,0.3
51,15.7,70.2,1020.3,7.7,5.2
52,13.9,54.8,1030.0,6.1,1.4
53,21.7,68.5,1021.3,3.6,0.6
54,24.2,69.4,1000.8,4.0,1.2
55,23.6,54.3,1009.1,1.5,7.8
56,13.0,93.0,1023.1,4.0,1.4
57,16.1,72.1,1007.3,3.3,0.8
58,20.0,47.1,1016.6,4.8,2.0
59,23.9,74.8,1019.2,1.9,0.5
60,15.1,50.4,1005.6,5.3,0.2
61,16.9,76.8,1012.5,7.8,0.3
62,11.4,82.4,987.1,3.7,0.3
63,10.8,52.7,1004.8,5.0,0.3
64,22.9,79.5,1011.0,5.7,0.3
65,26.1,71.2,1003.0,3.0,2.0
66,17.6,77.3,1026.1,4.6,0.4
67,24.0,93.5,1001.6,4.0,0.8
68,20.2,61.3,1009.5,4.2,4.5
69,14.1,53.7,1014.0,2.1,1.3
70,20.2,51.7,1024.5,4.1,2.2
71,27.2,52.8,1001.5,5.2,0.4
72,17.8,63.8,1022.3,7.6,0.4
73,27.4,70.1,1013.1,6.4,0.1
74,2.3,69.2,1005.1,9.4,0.4
75,22.9,77.4,1016.7,2.1,0.7
76,18.5,65.2,1014.6,6.2,0.4
77,16.2,86.8,1008.2,4.5,0.2
78,18.6,61.0,1013.6,9.5,0.3
79,6.1,100.0,1009.9,2.0,1.2
80,16.7,74.4,1013.9,1.9,0.5
81,20.1,52.1,1018.3,2.5,0.9
82,26.9,48.9,1025.7,1.3,1.4
83,14.9,72.2,1003.1,2.7,2.3
84,13.1,61.6,1030.1,2.1,0.1
85,15.0,75.7,997.4,4.4,3.2
86,23.5,72.1,1011.8,4.9,2.0
87,20.0,63.9,1017.7,8.7,0.2
88,14.8,52.3,1015.2,6.4,4.1
89,21.1,42.3,1008.0,2.6,5.1
90,18.6,58.3,1011.3,1.8,0.1
91,23.8,77.8,1009.1,5.2,0.6
92,13.8,68.2,1008.3,0.7,3.3
93,16.0,46.3,1019.8,8.6,2.8
94,15.6,67.6,1015.9,6.9,0.4
95,9.2,70.8,1007.5,2.8,0.5
96,19.8,51.7,1020.2,0.3,0.9
97,19.6,67.3,1015.5,7.4,1.3
98,18.0,65.9,1019.5,3.7,1.9
99,16.6,47.9,1018.0,7.1,0.9
